Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Fixed broadband subscriptions,IT.NET.BBND,19000,,,,19000,19000,19000,18800,,
Africa Eastern and Southern,AFE,Fixed broadband subscriptions,IT.NET.BBND,3100000,3100000,3200000,3500000,4100000,4600000,5600000,6400000,7200000,
Afghanistan,AFG,Fixed broadband subscriptions,IT.NET.BBND,7070,8800,9180,16000,19700,26600,26600,32300,33200,
Africa Western and Central,AFW,Fixed broadband subscriptions,IT.NET.BBND,600000,1000000,1000000,1100000,1200000,1800000,1700000,2000000,2300000,
Angola,AGO,Fixed broadband subscriptions,IT.NET.BBND,154000,84700,96900,110000,119000,122000,135000,138000,137000,
Albania,ALB,Fixed broadband subscriptions,IT.NET.BBND,243000,266000,304000,362000,436000,509000,559000,585000,632000,
Andorra,AND,Fixed broadband subscriptions,IT.NET.BBND,30700,32500,34300,35700,36400,37700,39400,40800,41800,
Arab World,ARB,Fixed broadband subscriptions,IT.NET.BBND,18081304,20019879,28218281,30067212,33094284,38885350,44448240,46115501,,
United Arab Emirates,ARE,Fixed broadband subscriptions,IT.NET.BBND,1230000,1300000,2760000,3020000,3050000,3250000,3570000,3770000,3950000,
Argentina,ARG,Fixed broadband subscriptions,IT.NET.BBND,6860000,7250000,7840000,8470000,8790000,9570000,10500000,11200000,11500000,
Armenia,ARM,Fixed broadband subscriptions,IT.NET.BBND,286000,299000,315000,347000,386000,430000,467000,511000,546000,
American Samoa,ASM,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,
Antigua and Barbuda,ATG,Fixed broadband subscriptions,IT.NET.BBND,10000,9260,9000,,8000,8000,8000,9920,,
Australia,AUS,Fixed broadband subscriptions,IT.NET.BBND,6830000,7370000,7920000,8430000,8800000,9100000,9300000,9580000,9630000,
Austria,AUT,Fixed broadband subscriptions,IT.NET.BBND,2460000,2520000,2510000,2520000,2520000,2610000,2620000,2650000,2710000,
Azerbaijan,AZE,Fixed broadband subscriptions,IT.NET.BBND,1900000,1800000,1810000,1890000,1940000,2000000,2060000,2100000,2150000,
Burundi,BDI,Fixed broadband subscriptions,IT.NET.BBND,2770,3250,3910,3940,3890,4230,3950,4010,2790,
Belgium,BEL,Fixed broadband subscriptions,IT.NET.BBND,4120000,4270000,4380000,4500000,4590000,4730000,4980000,5070000,5120000,
Benin,BEN,Fixed broadband subscriptions,IT.NET.BBND,73300,22300,28600,27000,25400,30000,20700,21100,24100,
Burkina Faso,BFA,Fixed broadband subscriptions,IT.NET.BBND,9350,12400,12400,13800,12000,14000,16300,15100,,
Bangladesh,BGD,Fixed broadband subscriptions,IT.NET.BBND,4890000,6590000,7300000,8050000,8090000,10100000,11100000,12100000,12900000,
Bulgaria,BGR,Fixed broadband subscriptions,IT.NET.BBND,1610000,1700000,1800000,1900000,2010000,2120000,2250000,2390000,2450000,
Bahrain,BHR,Fixed broadband subscriptions,IT.NET.BBND,253000,232000,194000,126000,141000,151000,248000,276000,268000,
"Bahamas, The",BHS,Fixed broadband subscriptions,IT.NET.BBND,81000,85100,86900,81200,82300,83000,82200,84000,95100,
Bosnia and Herzegovina,BIH,Fixed broadband subscriptions,IT.NET.BBND,635000,662000,700000,716000,746000,770000,798000,876000,908000,
Belarus,BLR,Fixed broadband subscriptions,IT.NET.BBND,2900000,3070000,3160000,3200000,3210000,3260000,3240000,3130000,3200000,
Belize,BLZ,Fixed broadband subscriptions,IT.NET.BBND,17400,18400,19000,24700,29600,36000,36000,39300,,
Bermuda,BMU,Fixed broadband subscriptions,IT.NET.BBND,30000,22800,22800,,23000,23000,23000,23000,,
Bolivia,BOL,Fixed broadband subscriptions,IT.NET.BBND,181000,288000,380000,504000,747000,932000,1130000,1330000,,
Brazil,BRA,Fixed broadband subscriptions,IT.NET.BBND,25500000,26900000,28900000,31200000,32900000,36300000,41600000,45300000,48400000,
Barbados,BRB,Fixed broadband subscriptions,IT.NET.BBND,78300,86900,89300,89300,107000,128000,103000,106000,,
Brunei Darussalam,BRN,Fixed broadband subscriptions,IT.NET.BBND,34400,36100,41100,49500,54200,71100,79400,90200,92800,
Bhutan,BTN,Fixed broadband subscriptions,IT.NET.BBND,27900,16500,16700,10800,8770,3190,2830,4930,10400,
Botswana,BWA,Fixed broadband subscriptions,IT.NET.BBND,36800,59100,32400,40000,49000,84800,133000,111000,84600,
Central African Republic,CAF,Fixed broadband subscriptions,IT.NET.BBND,1860,736,619,608,499,,499,820,,
