Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Africa Eastern and Southern,AFE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Africa Western and Central,AFW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Angola,AGO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,0.03229,,,,,,,,
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Andorra,AND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Arab World,ARB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,0.70228479,0.707917411,,,
United Arab Emirates,ARE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.865700006,0.931800008,,1.263890028,1.310649991,1.488309979,1.494689941,,,
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.622619987,0.558149993,0.556309998,0.488299996,0.478130013,0.541260004,0.522159994,0.549470007,,
Armenia,ARM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.250019997,0.233050004,0.227880001,0.188759997,0.178540006,0.209199995,0.205569997,0.209549993,0.181150004,
American Samoa,ASM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Antigua and Barbuda,ATG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,
Australia,AUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.919020057,,1.879189968,,1.825700045,,1.855090022,,,
