Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Fixed broadband subscriptions,IT.NET.BBND,19000.0,558000.0,602000.0,919000.0,19000.0,19000.0,19000.0,18800.0,1980000.0
Africa Eastern and Southern,AFE,Fixed broadband subscriptions,IT.NET.BBND,3100000.0,3100000.0,3200000.0,3500000.0,4100000.0,4600000.0,5600000.0,6400000.0,7200000.0
Afghanistan,AFG,Fixed broadband subscriptions,IT.NET.BBND,7070.0,8800.0,9180.0,16000.0,19700.0,26600.0,26600.0,32300.0,33200.0
Africa Western and Central,AFW,Fixed broadband subscriptions,IT.NET.BBND,600000.0,1000000.0,1000000.0,1100000.0,1200000.0,1800000.0,1700000.0,2000000.0,2300000.0
Angola,AGO,Fixed broadband subscriptions,IT.NET.BBND,154000.0,84700.0,96900.0,110000.0,119000.0,122000.0,135000.0,138000.0,137000.0
Albania,ALB,Fixed broadband subscriptions,IT.NET.BBND,243000.0,266000.0,304000.0,362000.0,436000.0,509000.0,559000.0,585000.0,632000.0
Andorra,AND,Fixed broadband subscriptions,IT.NET.BBND,30700.0,32500.0,34300.0,35700.0,36400.0,37700.0,39400.0,40800.0,41800.0
Arab World,ARB,Fixed broadband subscriptions,IT.NET.BBND,18081304.0,20019879.0,28218281.0,30067212.0,33094284.0,38885350.0,44448240.0,46115501.0,1980000.0
United Arab Emirates,ARE,Fixed broadband subscriptions,IT.NET.BBND,1230000.0,1300000.0,2760000.0,3020000.0,3050000.0,3250000.0,3570000.0,3770000.0,3950000.0
Argentina,ARG,Fixed broadband subscriptions,IT.NET.BBND,6860000.0,7250000.0,7840000.0,8470000.0,8790000.0,9570000.0,10500000.0,11200000.0,11500000.0
Armenia,ARM,Fixed broadband subscriptions,IT.NET.BBND,286000.0,299000.0,315000.0,347000.0,386000.0,430000.0,467000.0,511000.0,546000.0
American Samoa,ASM,Fixed broadband subscriptions,IT.NET.BBND,427500.0,558000.0,602000.0,919000.0,610000.0,719000.0,762000.0,800000.0,1980000.0
Antigua and Barbuda,ATG,Fixed broadband subscriptions,IT.NET.BBND,10000.0,9260.0,9000.0,919000.0,8000.0,8000.0,8000.0,9920.0,1980000.0
Australia,AUS,Fixed broadband subscriptions,IT.NET.BBND,6830000.0,7370000.0,7920000.0,8430000.0,8800000.0,9100000.0,9300000.0,9580000.0,9630000.0
Austria,AUT,Fixed broadband subscriptions,IT.NET.BBND,2460000.0,2520000.0,2510000.0,2520000.0,2520000.0,2610000.0,2620000.0,2650000.0,2710000.0
Azerbaijan,AZE,Fixed broadband subscriptions,IT.NET.BBND,1900000.0,1800000.0,1810000.0,1890000.0,1940000.0,2000000.0,2060000.0,2100000.0,2150000.0
Burundi,BDI,Fixed broadband subscriptions,IT.NET.BBND,2770.0,3250.0,3910.0,3940.0,3890.0,4230.0,3950.0,4010.0,2790.0
Belgium,BEL,Fixed broadband subscriptions,IT.NET.BBND,4120000.0,4270000.0,4380000.0,4500000.0,4590000.0,4730000.0,4980000.0,5070000.0,5120000.0
Benin,BEN,Fixed broadband subscriptions,IT.NET.BBND,73300.0,22300.0,28600.0,27000.0,25400.0,30000.0,20700.0,21100.0,24100.0
Burkina Faso,BFA,Fixed broadband subscriptions,IT.NET.BBND,9350.0,12400.0,12400.0,13800.0,12000.0,14000.0,16300.0,15100.0,1980000.0
