Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,27458.22533,27441.52966,28440.05196,30082.12764,31096.20507,22855.93232,27200.06108,30559.53353,33984.79062
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1479.564123,1329.777824,1520.171298,1538.924188,1493.780445,1344.080962,1522.590088,1628.024526,1659.51529
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,415.7074171
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1845.767804,1616.843198,1560.162999,1703.896392,1783.654365,1664.249176,1747.840549,1777.235012,1568.72431
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3213.902611,1807.952941,2437.259712,2538.591391,2189.855714,1449.922867,1925.874661,2929.694455,2308.159767
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,3952.803574,4124.05539,4531.032207,5365.489347,5460.428237,5370.778623,6413.283286,6846.426143,8575.171134
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,38654.93472,40129.8192,40672.99433,42819.77458,41257.80458,37361.09007,42425.69968,42414.05901,46812.44845
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6203.702636,5957.059837,6005.390129,6576.516631,6525.211843,5648.341118,6445.807261,7658.40647,7292.210408
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,43534.99727,41326.40182,42340.59171,45689.857,44251.45414,37173.87541,43360.0211,49899.0653,49040.69475
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938,10738.01792,13935.68111,14187.48273
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933,4685.179971,6571.974455,8053.010663
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866,15236.16049,18017.45894,7820.232404
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,16080.65805,16557.84317,16924.78945,18273.42707,18884.37297,15360.45442,17340.37907,20117.76533,21787.10173
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,56739.02653,49888.04108,53901.71454,57196.42208,54972.70179,51791.54018,60607.77886,64997.01365,64820.91179
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7125.908584
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,280.9668313,235.2862054,236.6944726,224.8993924,210.2364945,210.0081399,214.0914554,250.6342254,193.0071456
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758,51655.78833,50807.20471,54700.90932
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1002.418869,1010.533896,1054.974081,1151.74097,1130.821353,1197.501364,1318.834978,1264.70766,1394.373302
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,630.1247508,663.7423648,709.0915359,777.4656185,764.8530778,825.2370388,895.5352884,836.1183046,882.6898101
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788,2482.849178,2716.485927,2551.017727
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,7078.860323,7570.931655,8381.881346,9436.144799,9838.60059,10198.53883,12274.0776,13644.20158,15885.53913
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,23734.05511,23800.00144,24784.76935,26324.40665,27259.74386,24342.84446,27147.80839,30616.26107,29218.86056
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,30289.40225,30266.58592,31337.18325,32124.40511,32979.54013,25155.67254,28682.327,33044.38821,35896.50511
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4662.258837,4928.566525,5345.019855,6047.845843,6122.375345,6130.311332,7295.343824,7655.59421,8638.666202
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5967.06856,5039.775609,5785.533977,6360.053101,6837.768321,6542.86454,7489.718947,7994.648061,7829.053137
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6154.495935,6142.498732,6072.582676,6031.281396,6190.047923,5227.193638,6122.611586,7068.454783,7459.998151
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,104855.3668,108747.3561,112339.4256,113204.8221,115798.0408,106973.1757,112712.0251,120897.3112,125841.6025
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,2996.012898,3035.873478,3306.303012,3500.726422,3503.896011,3099.94219,3384.844865,3643.92827,3686.279965
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8936.196618,8836.286526,10080.50928,9300.661649,9029.833267,7074.193783,7972.53665,9281.333344,10294.86668
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,18954.29137,19065.80698,19692.76067,20055.91587,20583.72658,18347.11091,18696.7859,22164.02603,23804.02499
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,30625.12873,26663.29732,28024.38246,30988.11905,30426.57303,26834.35925,31006.96362,36632.92804,32962.90651
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2954.04082,3152.309051,3435.288048,3400.204172,3576.879871,3191.66907,3570.612579,3711.327679,7820.232404
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6141.203947,6749.059943,7104.964011,7407.959401,7172.089565,6323.314192,7808.20624,8329.040322,7820.232404
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,366.3228539,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713,492.2631428,467.359825,495.9788972
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52496.84417,55509.39318,53431.18571
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,12568.29651,12836.56663,14294.44702,16181.60737,16475.16148,16450.87751,19144.06855,19502.81693,22637.79501
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85897.78433,93446.43445,93245.79521,99564.71003
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,61852.07365,55950.14854,55806.57091,60783.35331,60568.10853,56785.94024,66912.17501,67627.30823,74589.13802
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,13433.9203,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547,16216.57065,15451.13196,17067.81362
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12662.58267,12614.06174
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,1814.718551,1862.595971,1964.299303,2130.866194,2141.768362,2179.729348,2455.981276,2308.706547,2530.846593
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1415.000097,1441.720173,1496.089518,1610.696416,1555.226605,1555.603707,1672.326573,1604.87727,1736.860911
