Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.7,93.5,97.2,98.07,98.37,98.73,99.1,98.97,99.03
Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.26,11.0,13.5,16.8,17.6,17.0,16.5,17.2,17.7
Africa Western and Central,AFW,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.0,23.2,26.0,29.0,32.1,36.6,39.4,42.1,44.8
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.9,59.6,62.4,65.4,68.6,72.2,79.3,82.6,83.1
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.9,89.7,91.6,92.3,90.7,93.2,93.9,94.5,95.4
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.5,90.6,94.8,98.5,99.2,100.0,100.0,100.0,100.0
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.0,71.0,74.3,77.7,79.9,85.5,87.2,88.4,89.2
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.1,64.3,64.7,68.2,66.5,76.5,78.6,77.0,80.0
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.81,51.13,54.56,57.33,60.26,63.79,68.62,70.39,71.96
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.0,71.0,72.0,73.0,74.0,75.0,76.1,77.2,77.6
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.6,86.5,86.5,90.0,93.6,94.7,97.0,97.0,97.1
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.9,84.3,87.9,87.5,87.8,87.5,92.5,93.6,95.3
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.0,78.2,79.0,79.8,81.1,84.6,86.0,88.0,89.0
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.0,2.2,2.66,4.0,6.1,9.17,11.0,11.0,11.1
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.1,86.5,87.7,88.6,90.3,91.5,92.8,94.0,94.6
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.3,14.5,18.7,19.0,20.5,22.1,28.2,30.0,32.2
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.55,7.14,7.79,8.5,9.27,10.8,12.6,14.6,17.0
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.9,18.1,21.5,25.6,30.4,36.1,38.9,41.6,44.5
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,56.7,59.8,63.4,64.8,67.9,70.2,75.3,79.1,80.4
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,93.5,98.0,95.9,98.6,99.7,99.7,100.0,100.0,100.0
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.0,80.0,80.6,83.0,90.7,92.4,94.3,94.7,94.8
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,52.6,60.3,64.9,70.1,69.9,73.2,75.7,78.8,83.4
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,62.2,71.1,74.4,79.1,82.8,85.1,86.9,89.5,91.5
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,41.6,44.6,48.9,53.6,58.8,64.4,70.7,71.8,72.4
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.3,98.0,98.4,97.8,96.57,97.43,98.0,98.17,98.8
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,37.5,39.7,43.8,44.3,47.5,59.9,66.0,67.4,70.2
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,58.3,60.9,67.5,70.4,73.9,81.3,80.7,80.5,84.2
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.0,72.2,72.3,72.4,74.2,76.0,77.9,79.4,80.0
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.2,90.0,94.9,95.0,95.0,96.3,97.6,99.0,99.0
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,39.8,46.5,54.3,63.5,74.2,76.9,85.6,86.3,88.4
