Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Africa Eastern and Southern,AFE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Africa Western and Central,AFW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Angola,AGO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.03,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Andorra,AND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Arab World,ARB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.7,0.71,1.0,0.999535024,0.999535024
United Arab Emirates,ARE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.87,0.93,1.1,1.26,1.31,1.49,1.49,1.0,0.999535024,0.999535024
Argentina,ARG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.62,0.56,0.56,0.49,0.48,0.54,0.52,0.55,0.549470007,0.549470007
Armenia,ARM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.25,0.23,0.23,0.19,0.18,0.21,0.21,0.21,0.209549993,0.209549993
American Samoa,ASM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Antigua and Barbuda,ATG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.73,0.75,0.74,0.75,0.83,0.92,1.04,1.0,0.999535024,0.999535024
Australia,AUS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1.92,1.9,1.88,1.85,1.83,1.84,1.86,1.0,0.999535024,0.999535024
Austria,AUT,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,3.05,3.12,3.06,3.09,3.13,3.2,3.26,3.2,3.200479984,3.200479984
