"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1400","6960","12300","14000","16000","18400","18800","19200","","","19200","19200","19000","","","","19000","19000","19000","18800","","",
"Africa Eastern and Southern","AFE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195606","417125","530556","609715","700598","1002607","1336066","1694910","2572220","3123787","3100000","3100000","3200000","3500000","4100000","4600000","5600000","6400000","7200000","",
"Afghanistan","AFG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","220","500","500","500","1000","1500","","1500","1500","1500","7070","8800","9180","16000","19700","26600","26600","32299.9999999999","33200","",
"Africa Western and Central","AFW","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25547","","141153","191510","246893","342842","","400964","399466","489777","600000","1000000","1000000","1100000","1200000","1800000","1700000","2000000","2300000","",
"Angola","AGO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7460","11700","15900","15000","15000","15800","20500","22300","87800","154000","84700","96900","110000","119000","122000","135000","138000","137000","",
"Albania","ALB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","","10000","64000","92000","106000","128000","160000","183000","208000","243000","266000","304000","362000","436000","509000","559000","585000","632000","",
"Andorra","AND","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1150","3600","6280","10300","14600","18500","20700","22900","24500","25800","26900","27700","28800","30700","32500","34300","35700","36400","37700","39400","40800","41800","",
"Arab World","ARB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","365937","861800","1545499","2811961","4235468","5845325","7123797","8570787","10323586","8880291","10801834","18081304","20019879","28218281","30067212","33094284","38885350","44448240","46115501","","",
"United Arab Emirates","ARE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","367","1970","8370","16600","30300","56100","129000","241000","380000","558000","690000","787000","867000","955000","1040000","1090000","1230000","1300000","2760000","3020000","3050000","3250000","3570000","3770000","3950000","",
"Argentina","ARG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94000","148000","259000","543000","927000","1580000","2600000","3110000","3510000","4030000","4570000","5150000","6250000","6520000","6860000","7250000","7840000","8470000","8790000","9570000","10500000","11200000","11500000","",
"Armenia","ARM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","8","10","1000","1990","","3900","13800","39900","93600","161000","212000","243000","273000","286000","299000","315000","347000","386000","430000","467000","511000","546000","",
"American Samoa","ASM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1660","5800","1540","2270","4990","16000","7120","6000","13100","15600","10800","10000","9260","9000","","8000","8000","8000","9920","","",
"Australia","AUS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123000","258000","517000","1010000","2020000","3900000","","5320000","5220000","5510000","5550000","5740000","5980000","6540000","6830000","7370000","7920000","8430000","8800000","9100000","9300000","9580000","9630000","",
"Austria","AUT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50900","191000","321000","451000","601000","870000","1170000","1430000","1620000","1730000","1880000","2049999.99999999","2100000","2130000","2230000","2360000","2460000","2520000","2510000","2520000","2520000","2610000","2620000","2650000","2710000","",
"Azerbaijan","AZE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","2180","3960","14600","60000","100000","475000","974000","1370000","1710000","1900000","1900000","1800000","1810000","1890000","1940000","2000000","2060000","2100000","2150000","",
"Burundi","BDI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","160","352","497","702","1530","1700","2770","3250","3910","3940","3890","4230","3950","4010","2790","",
"Belgium","BEL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10900","23000","144000","460000","815000","1240000","1620000","2009999.99999999","2450000","2730000","2980000","3150000","3370000","3540000","3690000","3830000","4010000","4120000","4270000","4380000","4500000","4590000","4730000","4980000","5070000","5120000","",
"Benin","BEN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","81","196","1500","710","8420","19100","27000","37500","41800","42500","45400","73300","22300","28600","27000","25400","30000","20700","21100","24100","",
